PLAYER_NAME,PLAYER_POSITION,PLAYER_TEAM,2019_G,2019_GS,2019_IP,2019_BB,2019_K,2019_W,2019_SV,2019_HD,2019_ERA,2019_WHIP,2019_K/9,2020_G,2020_GS,2020_IP,2020_BB,2020_K,2020_W,2020_SV,2020_HD,2020_ERA,2020_WHIP,2020_K/9,2020_OUTLOOK
Gerrit Cole,SP,Yankees,33.0,33.0,212.1,48.0,326.0,20.0,0.0,0.0,2.5,0.89,13.82,12.0,12.0,77.0,19.0,111.0,7.0,0.0,0.0,2.81,0.95,12.97,"After missing out on signing him as their 2008 first-round draftee, then falling short of trading for him following the 2017 campaign, the Yankees have finally landed Cole, awarding him the largest free-agent contract by any pitcher in baseball history. In fitting him for pinstripes, the Yankees offer Cole one of the game's most favorable environments, sporting an elite offense and bullpen as well as one of the most analytically driven staffs -- something that surely appealed to the right-hander. But there's a drawback in the form of Yankee Stadium. With its short porch in right field, it's a much more hitting-friendly ballpark than either of the previous two he called home, which could lead to a small increase in his ERA. That shouldn't preclude him from being the first pitcher off the board in all fantasy leagues, though, being that his 17% swing-and-miss rate last season was the highest by any qualified pitcher in the 18 years for which that data exists. Cole is a pitcher at his peak. Draft accordingly."
Jacob deGrom,SP,Mets,32.0,32.0,204.0,44.0,255.0,11.0,0.0,0.0,2.43,0.97,11.25,12.0,12.0,76.0,18.0,88.0,6.0,0.0,0.0,2.84,1.04,10.42,"Who needs wins? Now the back-to-back National League Cy Young award recipient, deGrom won no more than 11 times in either year, showing that most everyone recognizes the folly of individual pitcher wins nowadays. Yes, they're a category in rotisserie leagues, and yes, they're worth five points in ESPN's standard points leagues. That said, he was a top-six finisher in both formats in each of the past two seasons regardless, and he's coming off a 2019 second half in which he went 10-of-14 in quality starts with seven wins, a 1.44 ERA, a 0.83 WHIP and a 33% strikeout rate. There's no question that deGrom is an ace at the top of his game, with no imminent sign of a decline coming despite his 31 years of age. Frankly, he probably would be the first pitcher off every 2020 draft board if not for that win-potential disparity as well as the 39-K difference (using 2018-19 combined numbers) between him and Gerrit Cole."
Justin Verlander,SP,Astros,34.0,34.0,223.0,42.0,300.0,21.0,0.0,0.0,2.62,0.81,12.11,10.0,10.0,63.0,13.0,81.0,5.0,0.0,0.0,2.86,0.89,11.57,"Verlander is a great example of being both lucky and good. The 2019 AL Cy Young winner posted an outstanding 30.5% K-BB. However, he also gave up 36 homers, third most in the league, although it was only the fifth most in terms of HR/PA. Low walks with a fortunate hit rate limited base runners and the damage against him. Verlander's BABIP was .218 -- obviously lucky -- but part of the reason that number was so low is that the homers he gave up aren't part of the BABIP formula. In previous seasons, some of those blasts would have been doubles and triples, and hence included. Regardless, Verlander remains one of the top hurlers in the league and isn't showing any of the signs of decline traditionally associated with someone entering his age-37 season."
Max Scherzer,SP,Nationals,27.0,27.0,172.1,33.0,243.0,11.0,0.0,0.0,2.92,1.03,12.69,11.0,11.0,70.0,15.0,91.0,6.0,0.0,0.0,3.21,1.01,11.7,"For the first time in seven seasons, Scherzer fell short of either 30 starts or 200 innings pitched in 2019, exhibiting the first disconcerting signs of injury in his career. He made IL trips for a back strain (July) and a mild rhomboid strain (July/August) totaling 43 days lost, and most notably had his World Series Game 5 start pushed back because of neck spasms. Between these ailments and including the postseason, Scherzer's ERA was 3.82 and his WHIP 1.18. He also averaged 5.5 innings and 95.8 pitches per start -- all very good numbers, but considerably short of the 2.71/0.93/6.7/103.3 he averaged in his first four seasons with the Nationals. Still, he toughed it out for long enough to earn his fourth consecutive top-three and seventh consecutive top-five finish in NL Cy Young balloting, and showed no decline relative to his 2015-18 form in terms of his K-rate or average fastball velocity in those 13 season-concluding starts. On a per-start basis, Scherzer makes nearly as good a case as anyone to be picked first at his position. The only thing that should hold you back is the heightened risk that he might not play a full season."
Walker Buehler,SP,Dodgers,30.0,30.0,182.1,37.0,215.0,14.0,0.0,0.0,3.26,1.04,10.61,12.0,12.0,71.0,17.0,78.0,5.0,0.0,0.0,3.68,1.1,9.89,"Buehler's career is off to a sparkling start, and if the Dodgers are ready to release the reins on their now-25-year-old right-hander, he might be ready to claim an NL Cy Young award in the best-case scenario. He sports a brilliant combination of elite stuff (with four plus-pitches: four-seam fastball, cutter, sinker and slider -- and a curveball that is pretty darned good, too) and control (his 5.0% walk rate was 10th-best and 5.8 K:BB seventh-best among qualifiers in 2019). The Dodgers pitched him on greater than five days of rest five times in 30 starts last season, and have allowed him to exceed 100 pitches in only 15 of 59 career starts (postseason included). Even with these limitations, Buehler managed a No. 34 overall finish on the Player Rater and was 25th in scoring in points-based leagues. On a per-outing basis, he might challenge for the honor of best pitcher in fantasy, so do don't let him slip beyond the first couple of dozen picks in your draft."
Stephen Strasburg,SP,Nationals,33.0,33.0,209.0,56.0,251.0,18.0,0.0,0.0,3.32,1.04,10.81,11.0,11.0,67.0,19.0,75.0,5.0,0.0,0.0,3.63,1.15,10.07,"In his age-30 and 10th big league season, Strasburg set personal bests with 18 wins and 251 strikeouts, and led the National League with 209 innings pitched, and avoided the injured list for only the second time in a full year (also 2014). Despite slightly declining velocity, he maintained top-10-fantasy-starter ratios almost across the board, largely because he leaned increasingly on what was one of the game's most productive curveballs. After such a successful season culminating in a World Series title and a new, multiyear contract extension, Strasburg might have inflated expectations in fantasy entering 2020. His health history, though, appears to be keeping them reasonable in early drafts: A clear top-10 starter, but one in the back rather than front end of it."
Jack Flaherty,SP,Cardinals,33.0,33.0,196.1,55.0,231.0,11.0,0.0,0.0,2.75,0.97,10.59,12.0,12.0,71.0,23.0,77.0,5.0,0.0,0.0,3.68,1.11,9.76,"Flaherty's final 16 regular-season starts last season were a thing of beauty: 14 quality starts, a 0.93 ERA, a 0.70 WHIP, a .139 BAA and a 33.3% strikeout rate. While nearly everything seemed to break in the right-hander's favor during that span (except run support, as he somehow managed only seven wins and had three quality-start losses), credit him for his skills bump. This included a boost in average fastball velocity (94.3 mph, compared to 93.5 in his big league career before it), a drop of more than 2% in his walk rate, and an increase in ground balls. Flaherty, thanks to his elite slider and now-elite four-seam fastball, Flaherty can legitimately claim to be a top-10 fantasy starting pitcher in all formats. Just don't chase those second-half numbers exclusively, as some regression is due."
Shane Bieber,SP,Indians,34.0,33.0,214.1,40.0,259.0,15.0,0.0,0.0,3.28,1.05,10.88,12.0,12.0,74.0,13.0,83.0,5.0,0.0,0.0,3.65,1.11,10.09,"Control has always been Bieber's strong suit -- he has never walked even 5% of the hitters he has faced at any professional stop in any year -- and last season he added polish to his curveball and slider coupled with a greater reliance upon each, fueling a massive breakthrough. He finished tied for third in quality starts (24), third in strikeouts (259), 11th in WHIP (1.05) and 15th in ERA (3.28), and maintained the elite performance through the full 162, with a 3.09 second-half ERA in 15 starts. The one weakness was an inability to limit hard contact, as his 90.4 mph average exit velocity and 43.1% hard contact rates allowed, per Statcast data, ranked in the bottom half of baseball. Bieber's skill set mandates maintaining elite control, but his track record shows he can do it. Consider him a borderline top-10 fantasy starter, though he'd be hard-pressed to contend for the position's top spot."
Mike Clevinger,SP,Indians,21.0,21.0,126.0,37.0,169.0,13.0,0.0,0.0,2.71,1.06,12.07,12.0,12.0,72.0,25.0,85.0,5.0,0.0,0.0,3.13,1.14,10.63,"An upper-back strain at the onset of the regular season threatened to ruin Clevinger's 2019, but within three weeks of his healthy return, he recaptured his form as one of the game's best up-and-coming hurlers. In 17 starts from July 1 forward, he had 12 wins, 12 quality starts, a 2.17 ERA and 32.5% strikeout rate, all top-seven numbers in all of baseball during that span. The speedy rebound eases some of the injury worry entering 2020, and Clevinger's combination of mid-to-high-90s fastball and elite slider assures he'll continue to be one of the better sources of strikeouts and low ERA. Remember: Almost every starting pitcher these days faces some sort of volume-related question, and Clevinger's is really no greater than most, while his talent rivals that of anyone outside the top five at his position. Draft accordingly."
Clayton Kershaw,SP,Dodgers,29.0,28.0,178.1,41.0,189.0,16.0,0.0,0.0,3.08,1.04,9.54,11.0,11.0,69.0,14.0,70.0,5.0,0.0,0.0,3.78,1.09,9.13,"Considering his hefty career workload and dalliances with back woes, Kershaw will likely carry the ""health risk"" label for the rest of his career. That said, the veteran southpaw's 514 2/3 innings pitched since 2017 ranks a respectable 16th among qualified starters. Last season, Kershaw recovered from early-season shoulder soreness to pitch 178 1/3 solid frames, improving his strikeout rate while lowering his hard-hit clip from 2018. However, Kershaw also allowed a career-high 28 homers, resulting in a 3.03 ERA -- his first season north of 3.00 since his rookie campaign. His estimators were also higher than any since early in his career. Kershaw might no longer be the best pitcher on the planet, but he can still be the best pitcher on a fantasy roster -- one of the top dozen or so -- even with a reduced workload."
